smartphone_brand,smartphone_brand_url
Motorola,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AMotorola&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_1&ds=v1%3AqwL4EzANHKo1oGzLNzRfYTiAvA96OQT0gJSvyO0KVV4
Google,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AGoogle&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_2&ds=v1%3AprIsbfNpo7OCOCwCFG68UANVkBSzULQi89Vq35CSmZ0
Apple,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AApple&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_3&ds=v1%3AZ8OVZc8KIidiGN9PbazxGKzYw%2Bjxn9PE08cbSizZpc0
TracFone,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ATracFone&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_4&ds=v1%3AZKFjq8sVEdz2N1PmfOfytpPt25O43dV%2FXlXKmMED2tM
OnePlus,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AOnePlus&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_5&ds=v1%3AVsUMl3UY25A4TSwqcNxP4GKK6t94hP%2BjHSwrp43gODw
BLU,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ABLU&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_6&ds=v1%3AwnyCck8vf%2BqzP%2FL187tpKEXhMU1sMgI%2F546uEHsqcC0
SAMSUNG,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ASAMSUNG&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_7&ds=v1%3ABGnAqpKW%2BYuFVvGXdb3TW0WcectjaAv8W3y3ZKsEqv0
Total by Verizon,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ATotal+by+Verizon&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_8&ds=v1%3A%2BJr9tEtOBC0JDxxE9TRcPDTsEoUBkYynpKM5efplBQY
Nokia,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ANokia&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_9&ds=v1%3AC4aTjAs30ml1TtvrTnvVfblZOxCIz100rvjdRwWhpMw
Xiaomi,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AXiaomi&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1708252526&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_10&ds=v1%3AqhNPw3cs%2B6DTt7n%2F8MbSJ%2FcXlM0QCDRmCtPXcHWgUpI
