smartphone_brand,target_title,target_url,target_price,target_star_text,quantity_bought_mouth,quantity_bought_mouth_level,target_price_price,target_price_unit,target_star_text_average,target_star_text_max
Motorola,Motorola Moto G Stylus | 2022 | 2 天電池 | 解鎖 | 專為美國 4/128GB | 50MP 相機 | 暮光藍,https://www.amazon.com/-/zh_TW/Motorola-Moto-Stylus-2022-128GB/dp/B0CBNLS6BD/ref=sr_1_1?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-1,US$128.00,4.3 顆星，最高 5 顆星,過去一個月有3000個以上顧客購買,3000,128.0,US,4.3,5.0
Motorola,"Motorola Moto G Power 5G | 2023 | 解鎖 | 專為美國 6/256GB | 50 MPCamera | 礦物黑色,163.06 x 74.8 x 8.45 公釐",https://www.amazon.com/-/zh_TW/Motorola-Power-256GB-MPCamera-163-06/dp/B0BYGXFJ8K/ref=sr_1_2?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-2,,4.3 顆星，最高 5 顆星,過去一個月有1000個以上顧客購買,1000,,,4.3,5.0
Motorola,Moto G Play 2023 3 天電池解鎖 美國製造 3/32GB 16MP 相機 海軍藍,https://www.amazon.com/-/zh_TW/Moto-Play-2023-%E5%A4%A9%E9%9B%BB%E6%B1%A0%E8%A7%A3%E9%8E%96-%E7%BE%8E%E5%9C%8B%E8%A3%BD%E9%80%A0/dp/B0BQ118F2T/ref=sr_1_3?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-3,,4.0 顆星，最高 5 顆星,過去一個月有3000個以上顧客購買,3000,,,4.0,5.0
Motorola,"Motorola Moto G 5G | 2023 | 解鎖 | 專為美國 4/128GB | 藍牙 | 48 MPCamera | 港口灰,163.94x74.98x8.39",https://www.amazon.com/-/zh_TW/Motorola-Moto-128GB-MPCamera-163-94x74-98x8-39/dp/B0C2SP2L4K/ref=sr_1_4?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-4,,4.3 顆星，最高 5 顆星,過去一個月有1000個以上顧客購買,1000,,,4.3,5.0
Motorola,"Motorola Moto G 5G | 2023 | 解鎖 | 專為美國 4/128GB | 48 MPCamera | 墨藍色,163.94x74.98x8.39",https://www.amazon.com/-/zh_TW/Motorola-Moto-128GB-MPCamera-163-94x74-98x8-39/dp/B0C2SWQBMB/ref=sr_1_5?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-5,,4.3 顆星，最高 5 顆星,過去一個月有500個以上顧客購買,500,,,4.3,5.0
Motorola,Motorola Edge | 2023 | 解鎖 | 專為美國 8/256GB | 50MP 相機 | 日蝕黑,https://www.amazon.com/-/zh_TW/Motorola-Edge-2023-%E5%B0%88%E7%82%BA%E7%BE%8E%E5%9C%8B-256GB/dp/B0C9RX9F94/ref=sr_1_6?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-6,US$549.99,3.9 顆星，最高 5 顆星,過去一個月有400個以上顧客購買,400,549.99,US,3.9,5.0
Motorola,Moto G 5G | 2022 | 2 天電池 | 解鎖 | 摩托羅拉為美國製造 | 6/256GB | 50 MP 相機 | 月光灰色,https://www.amazon.com/-/zh_TW/Moto-2022-%E6%91%A9%E6%89%98%E7%BE%85%E6%8B%89%E7%82%BA%E7%BE%8E%E5%9C%8B%E8%A3%BD%E9%80%A0-256GB-%E6%9C%88%E5%85%89%E7%81%B0%E8%89%B2/dp/B09TZ5ZBJT/ref=sr_1_7?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-7,US$262.98,4.2 顆星，最高 5 顆星,過去一個月有100個以上顧客購買,100,262.98,US,4.2,5.0
Motorola,Moto G Play | 2024 | 解鎖 | 專為美國 4/64GB | 50MP 相機 | 藍寶石藍,https://www.amazon.com/-/zh_TW/PB0C0008US/dp/B0CP6DDN1H/ref=sr_1_8?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-8,US$149.99,,,0,149.99,US,,
Motorola,"Motorola Think Phone | 2023 | 解鎖 | 專為美國 8/256GB | 50MP 相機 | 火山灰,6.6 吋",https://www.amazon.com/-/zh_TW/Motorola-Think-Phone-2023-256GB/dp/B0C7SSTPD9/ref=sr_1_9?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-9,,4.6 顆星，最高 5 顆星,過去一個月有500個以上顧客購買,500,,,4.6,5.0
Motorola,"Motorola razr | 2023 | 解鎖 | 專為美國 8/128 | 32MP 相機 | 夏日紫丁香色,73.95 x 170.82 x 7.35 公釐",https://www.amazon.com/-/zh_TW/Motorola-razr-%E5%A4%8F%E6%97%A5%E7%B4%AB%E4%B8%81%E9%A6%99%E8%89%B2-73-95-170-82/dp/B0CGWF3F64/ref=sr_1_10?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-10,,4.2 顆星，最高 5 顆星,過去一個月有100個以上顧客購買,100,,,4.2,5.0
Motorola,Motorola Moto G52 6GB RAM | 256GB 存儲 | 單張 SIM 卡 | 立體聲揚聲器 W/Dolby Atmos | 30W 渦輪充電 | 6.6 吋 OLED FHD+ 90Hz 顯示器 | 國際型號 | GSM 原廠解鎖 - (黑色),https://www.amazon.com/-/zh_TW/Motorola-256GB-%E7%AB%8B%E9%AB%94%E8%81%B2%E6%8F%9A%E8%81%B2%E5%99%A8-Dolby-Atmos/dp/B0CF7V41CM/ref=sr_1_11?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-11,,4.6 顆星，最高 5 顆星,,0,,,4.6,5.0
Motorola,Motorola Moto G Stylus | 2022 | 2 天電池 | 解鎖 | 摩托羅拉為美國製造 | 6/128GB | 50MP 相機 | 暮光藍,https://www.amazon.com/-/zh_TW/Motorola-Moto-Stylus-%E6%91%A9%E6%89%98%E7%BE%85%E6%8B%89%E7%82%BA%E7%BE%8E%E5%9C%8B%E8%A3%BD%E9%80%A0-128GB/dp/B09PFC2DVD/ref=sr_1_12?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-12,,4.3 顆星，最高 5 顆星,過去一個月有50個以上顧客購買,50,,,4.3,5.0
Motorola,Motorola Edge | 2021 | 2 天電池 | 解鎖 | 摩托羅拉為美國製造 | 8/256GB | 108MP 相機 | 星雲藍,https://www.amazon.com/-/zh_TW/Motorola-Edge-%E6%91%A9%E6%89%98%E7%BE%85%E6%8B%89%E7%82%BA%E7%BE%8E%E5%9C%8B%E8%A3%BD%E9%80%A0-256GB-108MP/dp/B098TXKW8K/ref=sr_1_13?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-13,US$279.99,4.2 顆星，最高 5 顆星,過去一個月有100個以上顧客購買,100,279.99,US,4.2,5.0
Motorola,"Motorola Simple Mobile Moto g Stylus (2023),64GB,藍色 – 預付智慧型手機(鎖定)",https://www.amazon.com/-/zh_TW/Motorola-Simple-Mobile-Moto-Stylus/dp/B0CCT1DQMX/ref=sr_1_14?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-14,,4.5 顆星，最高 5 顆星,,0,,,4.5,5.0
Motorola,"Motorola razr+ | 2023 | 解鎖 | 專為美國 8/256 | 32 MPCamera |黑色,73.95x170.83x6.99 公釐",https://www.amazon.com/-/zh_TW/Motorola-razr-2023-MPCamera-73-95x170-83x6-99/dp/B0C2XF43BD/ref=sr_1_15?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-15,US$699.99,4.1 顆星，最高 5 顆星,過去一個月有100個以上顧客購買,100,699.99,US,4.1,5.0
Motorola,"Motorola razr+ | 2023 | 解鎖 | 專為美國 8/256 | 32 MPCamera |藍色,73.95x170.83x6.99 公釐",https://www.amazon.com/-/zh_TW/Motorola-razr-2023-MPCamera-73-95x170-83x6-99/dp/B0C2X87QW4/ref=sr_1_16?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-16,,4.1 顆星，最高 5 顆星,過去一個月有50個以上顧客購買,50,,,4.1,5.0
Motorola,"Motorola Moto G84 5G (GSM 解鎖,國際版) 256GB + 12GB RAM 雙卡 Android 13 智慧型手機(午夜藍)",https://www.amazon.com/-/zh_TW/Motorola-Moto-256GB-Android-%E6%99%BA%E6%85%A7%E5%9E%8B%E6%89%8B%E6%A9%9F/dp/B0CF2QBQBN/ref=sr_1_17?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-17,US$279.50,4.5 顆星，最高 5 顆星,過去一個月有50個以上顧客購買,50,279.5,US,4.5,5.0
Motorola,Motorola Moto G23 4G LTE XT2333-1 | 4GB RAM | 128GB 存儲 | 雙卡 | 50MP 相機 | 30W TurboPower | 6.5 吋 LCD 90Hz 顯示器 | 國際型號 | GSM 原廠解鎖 - (藍色),https://www.amazon.com/-/zh_TW/Motorola-Moto-XT2333-1-128GB-TurboPower/dp/B0CJCV4B9V/ref=sr_1_18?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-18,US$137.99,,,0,137.99,US,,
Motorola,Motorola Edge + |2022| 4800mAh 電池 | 解鎖 | 專為美國 8/512GB | 50MP 相機 | 宇宙藍,https://www.amazon.com/-/zh_TW/Motorola-Edge-2022-4800mAh-512GB/dp/B09TG89P52/ref=sr_1_19?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-19,US$359.99,4.2 顆星，最高 5 顆星,過去一個月有100個以上顧客購買,100,359.99,US,4.2,5.0
Motorola,Motorola Moto E13 雙卡 64GB ROM + 2GB RAM 原廠解鎖 4G 智慧型手機(宇宙黑) - 國際版,https://www.amazon.com/-/zh_TW/Motorola-Moto-64GB-%E5%8E%9F%E5%BB%A0%E8%A7%A3%E9%8E%96-%E6%99%BA%E6%85%A7%E5%9E%8B%E6%89%8B%E6%A9%9F/dp/B0BSQXLQNK/ref=sr_1_20?crid=2FI25L7UURJFL&keywords=%E6%89%8B%E6%A9%9F&qid=1707759716&refinements=p_89%3AMotorola%2Cp_36%3A5000-&rnid=2528832011&s=wireless&sprefix=%2Caps%2C452&sr=1-20,US$97.50,4.3 顆星，最高 5 顆星,過去一個月有50個以上顧客購買,50,97.5,US,4.3,5.0
