smartphone_brand,smartphone_brand_url
Motorola,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AMotorola&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_1&ds=v1%3AuaXq%2Bl5LxI7JYQYIyLFKAtBBH8qDOd6ZzwT6RZsgv%2BA
Google,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AGoogle&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_2&ds=v1%3Az8TNr%2Bso8fmWSbfyNEllHDqracfDL18wvlfU8papMWk
TCL,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ATCL&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_3&ds=v1%3AOsJ6hNPz33ojzq2bzi6FxOq5OFQTlUzanYQGMTAqcVo
TracFone,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ATracFone&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_4&ds=v1%3AVLGKLBb6bkdE7RxhNZMCmHKIvq3XuArAhe1f2OAmjUg
Apple,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AApple&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_5&ds=v1%3AsvCvWAw%2FfHvYmBnW%2FzddWfedA%2BwGow0n3vFxwlArAQY
BLU,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ABLU&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_6&ds=v1%3AQJkpTh4R9uZvoBc2%2BEZBUARq5LxPlySRWiZJHAAeb1U
Total by Verizon,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ATotal+by+Verizon&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_7&ds=v1%3AkDLVbxhgDM1IfBIV1GnlIYwdRGl3MMnPYvJAiJD%2B%2FSY
OnePlus,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AOnePlus&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_8&ds=v1%3AN2VvjCU7x9xwF0fYcBBSiandauwiSPVzolW08hq%2B3qo
Nokia,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ANokia&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_9&ds=v1%3Awaa3kvhLo78s49ITNPvb%2FBtmyjgP4xzpizzpMIDINbI
Xiaomi,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AXiaomi&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_10&ds=v1%3ANtnUpKe7x9CX1dbfKCBA94yTpxKoQJPB7d0PVH0xwDY
